char,n_trials,n_errors,entropy_bits,entropy_max_bits,entropy_norm,n_distinct_wrong,top1_char,top1_share,top2_char,top2_share
あ,489,208,5.323,6.17,0.863,53,お,0.082,ぬ,0.058
か,490,239,5.297,6.17,0.859,54,ね,0.059,わ,0.054
が,490,291,5.162,6.17,0.837,59,か,0.175,た,0.045
ぱ,489,318,4.728,6.17,0.766,58,は,0.179,ば,0.116
し,490,187,4.998,6.17,0.81,50,は,0.144,に,0.086
つ,491,209,5.191,6.17,0.841,48,て,0.096,ん,0.057
ま,490,198,5.426,6.17,0.879,57,は,0.086,あ,0.056
ら,490,238,5.252,6.17,0.851,52,り,0.088,あ,0.063
