version,axis,char,family,speed,gamma,lambda,mu,sigma,converged,n_trials,n_rows,n_participants,note
excl_clamp0,actual,ら,reveal,pooled,0.01389,0.87649,0.9652,0.25799,True,123,123,41,
excl_clamp0,actual,ら,reveal,300,0.01389,0.80561,0.88923,0.27052,True,60,60,20,
excl_clamp0,actual,ら,reveal,500,0.01389,0.94756,1.05823,0.26172,True,63,63,21,
excl_clamp0,actual,ら,blur,pooled,0.01389,1.0,47.6378,10.50252,True,120,120,39,
excl_clamp0,actual,ら,blur,300,0.01389,1.0,49.58851,9.87461,True,60,60,20,
excl_clamp0,actual,ら,blur,500,0.01389,1.0,45.74062,10.92899,True,60,60,19,
excl_clamp0,actual,ら,wipe,pooled,0.01389,0.875,24.78022,0.52459,True,121,121,40,
excl_clamp0,actual,ら,wipe,300,0.01389,0.9,24.51138,0.23697,True,57,57,19,
excl_clamp0,actual,ら,wipe,500,0.01389,0.83333,25.04971,0.43081,True,64,64,21,
excl_clamp0,nominal,あ,fade,pooled,0.01389,1.0,1.31654,0.56012,True,120,120,40,
excl_clamp0,nominal,あ,fade,300,0.01389,1.0,1.18718,0.42763,True,63,63,21,
excl_clamp0,nominal,あ,fade,500,0.01389,1.0,1.47762,0.69309,True,57,57,19,
excl_clamp0,nominal,あ,reveal,pooled,0.01389,0.95791,1.18683,0.49099,True,126,126,42,
excl_clamp0,nominal,あ,reveal,300,0.01389,1.0,1.03168,0.39608,True,63,63,21,
excl_clamp0,nominal,あ,reveal,500,0.01389,1.0,2.02857,1.11726,True,63,63,21,
excl_clamp0,nominal,あ,blur,pooled,0.01389,1.0,45.41926,13.99266,True,123,123,41,
excl_clamp0,nominal,あ,blur,300,0.01389,1.0,47.96331,12.86231,True,63,63,21,
excl_clamp0,nominal,あ,blur,500,0.01389,1.0,42.71618,14.97848,True,60,60,20,
excl_clamp0,nominal,あ,wipe,pooled,0.01389,1.0,23.41955,11.94483,True,120,120,39,
excl_clamp0,nominal,あ,wipe,300,0.01389,1.0,20.59682,10.36183,True,60,60,19,
excl_clamp0,nominal,あ,wipe,500,0.01389,1.0,26.02742,13.26011,True,60,60,20,
excl_clamp0,nominal,か,fade,pooled,0.01389,0.93467,1.39455,0.49001,True,121,121,39,
excl_clamp0,nominal,か,fade,300,0.01389,0.88796,1.25881,0.29212,True,61,61,20,
excl_clamp0,nominal,か,fade,500,0.01389,0.96495,1.41568,0.58845,True,60,60,19,
