modality,char,level,n_correct,n_trials,accuracy
視覚,つ,1.4,9,16,0.5625
視覚,つ,2.0,12,31,0.3871
視覚,つ,2.2,11,16,0.6875
視覚,つ,3.5,10,14,0.7143
視覚,つ,4.0,14,31,0.4516
視覚,つ,6.0,14,15,0.9333
視覚,つ,8.0,2,15,0.1333
視覚,つ,9.0,14,14,1.0
視覚,つ,12.0,15,15,1.0
視覚,つ,14.0,5,16,0.3125
視覚,つ,25.0,4,15,0.2667
視覚,つ,26.0,8,17,0.4706
視覚,つ,38.0,9,16,0.5625
視覚,つ,48.0,13,16,0.8125
視覚,つ,56.0,14,16,0.875
視覚,つ,64.0,15,15,1.0
視覚,つ,72.0,16,16,1.0
視覚,つ,84.0,16,16,1.0
視覚,つ,100.0,59,60,0.9833
視覚,ぱ,0.1,0,16,0.0
視覚,ぱ,0.3,0,15,0.0
視覚,ぱ,0.4,0,16,0.0
視覚,ぱ,0.5,1,31,0.0323
視覚,ぱ,0.8,0,16,0.0
視覚,ぱ,1.0,2,30,0.0667
視覚,ぱ,1.4,5,15,0.3333
視覚,ぱ,2.0,4,30,0.1333
視覚,ぱ,2.2,5,16,0.3125
視覚,ぱ,3.5,11,16,0.6875
視覚,ぱ,4.0,8,31,0.2581
視覚,ぱ,6.0,14,15,0.9333
視覚,ぱ,8.0,0,14,0.0
視覚,ぱ,9.0,14,16,0.875
視覚,ぱ,12.0,15,16,0.9375
視覚,ぱ,14.0,0,15,0.0
視覚,ぱ,25.0,0,16,0.0
視覚,ぱ,26.0,1,15,0.0667
視覚,ぱ,38.0,3,16,0.1875
視覚,ぱ,48.0,4,14,0.2857
視覚,ぱ,56.0,4,15,0.2667
視覚,ぱ,64.0,6,15,0.4
視覚,ぱ,72.0,7,15,0.4667
視覚,ぱ,84.0,12,16,0.75
視覚,ぱ,100.0,55,59,0.9322
視覚,ま,0.1,1,15,0.0667
視覚,ま,0.3,0,16,0.0
視覚,ま,0.4,1,15,0.0667
視覚,ま,0.5,4,29,0.1379
視覚,ま,0.8,2,16,0.125
視覚,ま,1.0,2,31,0.0645
視覚,ま,1.4,9,15,0.6
視覚,ま,2.0,10,32,0.3125
視覚,ま,2.2,12,16,0.75
視覚,ま,3.5,14,15,0.9333
視覚,ま,4.0,19,30,0.6333
視覚,ま,6.0,13,15,0.8667
視覚,ま,8.0,15,16,0.9375
視覚,ま,9.0,15,15,1.0
視覚,ま,12.0,15,16,0.9375
視覚,ま,14.0,14,15,0.9333
視覚,ま,25.0,15,16,0.9375
視覚,ま,26.0,2,15,0.1333
視覚,ま,38.0,7,16,0.4375
視覚,ま,48.0,8,14,0.5714
視覚,ま,56.0,11,16,0.6875
視覚,ま,64.0,13,15,0.8667
視覚,ま,72.0,14,15,0.9333
視覚,ま,84.0,16,16,1.0
視覚,ま,100.0,60,60,1.0
視覚,ら,0.1,0,15,0.0
視覚,ら,0.3,1,15,0.0667
視覚,ら,0.4,1,16,0.0625
視覚,ら,0.5,3,30,0.1
視覚,ら,0.8,0,15,0.0
視覚,ら,1.0,7,30,0.2333
視覚,ら,1.4,7,16,0.4375
視覚,ら,2.0,13,32,0.4062
視覚,ら,2.2,12,16,0.75
視覚,ら,3.5,16,16,1.0
視覚,ら,4.0,14,29,0.4828
視覚,ら,6.0,16,16,1.0
視覚,ら,8.0,0,17,0.0
視覚,ら,9.0,14,15,0.9333
視覚,ら,12.0,15,15,1.0
視覚,ら,14.0,0,14,0.0
視覚,ら,25.0,8,15,0.5333
視覚,ら,26.0,5,15,0.3333
視覚,ら,38.0,4,15,0.2667
視覚,ら,48.0,5,16,0.3125
視覚,ら,56.0,7,14,0.5
視覚,ら,64.0,14,15,0.9333
視覚,ら,72.0,16,16,1.0
視覚,ら,84.0,14,14,1.0
視覚,ら,100.0,60,63,0.9524
