cut,modality,char,family,mu,lambda,n_trials,n_participants
baseline,audio,あ,,19.41106,0.9645,237,90
baseline,audio,か,,34.56596,1.0,236,90
baseline,audio,が,,2.04597,0.00847,236,90
baseline,audio,ぱ,,15.08731,0.42604,237,90
baseline,audio,し,,23.84197,0.27381,235,90
baseline,audio,つ,,1.77094,0.67321,237,90
baseline,audio,ま,,45.9237,0.90269,237,90
baseline,audio,ら,,46.03874,0.41512,235,90
baseline,visual,あ,blur,45.41926,1.0,123,41
baseline,visual,あ,fade,1.31654,1.0,120,40
baseline,visual,あ,reveal,1.18829,0.95743,126,42
baseline,visual,あ,wipe,23.41955,1.0,120,39
baseline,visual,か,blur,45.56228,1.0,126,42
baseline,visual,か,fade,1.39455,0.93467,121,39
baseline,visual,か,reveal,1.69459,1.0,120,40
baseline,visual,か,wipe,38.42291,0.93353,123,41
baseline,visual,が,blur,56.54411,1.0,120,40
baseline,visual,が,fade,1.84781,0.95157,124,41
baseline,visual,が,reveal,3.33637,0.92597,120,39
baseline,visual,が,wipe,55.34718,1.0,126,42
baseline,visual,ぱ,blur,68.84793,1.0,120,39
baseline,visual,ぱ,fade,2.71828,0.96168,126,42
baseline,visual,ぱ,reveal,3.44473,0.87006,123,41
baseline,visual,ぱ,wipe,99.45348,0.93334,120,40
baseline,visual,し,blur,33.36534,0.95765,123,41
baseline,visual,し,fade,1.45557,1.0,121,41
baseline,visual,し,reveal,1.24485,0.97666,126,42
baseline,visual,し,wipe,17.2001,1.0,120,39
baseline,visual,つ,blur,31.37188,1.0,127,42
baseline,visual,つ,fade,1.58399,1.0,121,39
baseline,visual,つ,reveal,1.61739,1.0,120,40
baseline,visual,つ,wipe,30.38048,0.93266,123,41
baseline,visual,ま,blur,44.5377,1.0,121,41
baseline,visual,ま,fade,1.39341,0.92972,123,41
baseline,visual,ま,reveal,2.4149,1.0,120,39
baseline,visual,ま,wipe,3.96602,0.95238,126,42
baseline,visual,ら,blur,47.6378,1.0,120,39
baseline,visual,ら,fade,1.68598,1.0,126,42
baseline,visual,ら,reveal,0.9652,0.87649,123,41
baseline,visual,ら,wipe,24.78022,0.875,121,40
rt_iqr,audio,あ,,19.37096,0.97006,228,90
rt_iqr,audio,か,,30.90034,1.0,207,89
rt_iqr,audio,が,,-5.34004,0.00889,225,90
rt_iqr,audio,ぱ,,15.04959,0.42308,213,90
rt_iqr,audio,し,,21.85515,0.27632,207,90
rt_iqr,audio,つ,,-7.72803,0.7717,213,89
rt_iqr,audio,ま,,45.72813,0.90727,214,90
rt_iqr,audio,ら,,44.38954,0.42,200,90
rt_iqr,visual,あ,blur,43.06389,1.0,118,41
rt_iqr,visual,あ,fade,1.25877,1.0,114,40
rt_iqr,visual,あ,reveal,1.08915,0.95389,123,42
rt_iqr,visual,あ,wipe,23.39635,1.0,109,39
rt_iqr,visual,か,blur,42.74025,1.0,117,42
rt_iqr,visual,か,fade,1.36495,0.93564,117,39
rt_iqr,visual,か,reveal,1.59763,1.0,113,40
rt_iqr,visual,か,wipe,35.88867,0.93327,107,41
rt_iqr,visual,が,blur,54.64077,1.0,113,40
rt_iqr,visual,が,fade,1.85421,0.96612,117,41
rt_iqr,visual,が,reveal,3.30041,0.92301,113,39
rt_iqr,visual,が,wipe,76.88764,1.0,99,42
rt_iqr,visual,ぱ,blur,67.71138,1.0,115,39
rt_iqr,visual,ぱ,fade,2.76045,0.96354,119,42
rt_iqr,visual,ぱ,reveal,3.63199,0.92925,109,41
rt_iqr,visual,ぱ,wipe,52.08567,1.0,103,40
rt_iqr,visual,し,blur,29.92806,0.93341,116,41
rt_iqr,visual,し,fade,1.2986,0.98614,116,41
rt_iqr,visual,し,reveal,1.13235,0.97568,113,42
rt_iqr,visual,し,wipe,15.46824,1.0,108,39
rt_iqr,visual,つ,blur,30.96246,1.0,124,42
rt_iqr,visual,つ,fade,1.5021,1.0,115,39
rt_iqr,visual,つ,reveal,1.58935,1.0,111,40
rt_iqr,visual,つ,wipe,31.48314,1.0,96,40
rt_iqr,visual,ま,blur,43.09397,1.0,117,41
rt_iqr,visual,ま,fade,1.38716,0.9273,120,41
rt_iqr,visual,ま,reveal,2.4759,1.0,112,39
rt_iqr,visual,ま,wipe,3.96537,0.96552,101,42
rt_iqr,visual,ら,blur,47.49252,1.0,114,39
rt_iqr,visual,ら,fade,1.59164,1.0,114,42
rt_iqr,visual,ら,reveal,0.96755,0.90552,115,41
rt_iqr,visual,ら,wipe,24.61465,0.93333,98,40
rt_min300,audio,あ,,19.46976,0.97605,235,89
rt_min300,audio,か,,33.82749,1.0,232,89
rt_min300,audio,が,,-19.70216,0.00862,232,89
rt_min300,audio,ぱ,,15.12635,0.43374,233,89
rt_min300,audio,し,,23.89305,0.27884,231,89
rt_min300,audio,つ,,3.12254,0.67659,235,89
rt_min300,audio,ま,,45.98001,0.91189,233,89
rt_min300,audio,ら,,46.0091,0.42405,231,89
rt_min300,visual,あ,blur,45.41926,1.0,123,41
rt_min300,visual,あ,fade,1.31654,1.0,120,40
rt_min300,visual,あ,reveal,1.18829,0.95743,126,42
rt_min300,visual,あ,wipe,23.41955,1.0,120,39
rt_min300,visual,か,blur,45.56228,1.0,126,42
rt_min300,visual,か,fade,1.39455,0.93467,121,39
rt_min300,visual,か,reveal,1.69459,1.0,120,40
rt_min300,visual,か,wipe,38.49607,0.93355,122,41
rt_min300,visual,が,blur,56.54411,1.0,120,40
rt_min300,visual,が,fade,1.85762,0.96762,121,40
rt_min300,visual,が,reveal,3.33637,0.92597,120,39
rt_min300,visual,が,wipe,55.34718,1.0,126,42
rt_min300,visual,ぱ,blur,68.84793,1.0,120,39
rt_min300,visual,ぱ,fade,2.71828,0.96168,126,42
rt_min300,visual,ぱ,reveal,3.51117,0.89908,121,41
rt_min300,visual,ぱ,wipe,99.45348,0.93334,120,40
rt_min300,visual,し,blur,32.62318,0.95233,122,41
rt_min300,visual,し,fade,1.45557,1.0,121,41
rt_min300,visual,し,reveal,1.24485,0.97666,126,42
rt_min300,visual,し,wipe,17.2001,1.0,120,39
rt_min300,visual,つ,blur,31.37188,1.0,127,42
rt_min300,visual,つ,fade,1.58399,1.0,121,39
rt_min300,visual,つ,reveal,1.61739,1.0,120,40
rt_min300,visual,つ,wipe,30.31764,0.93269,120,40
rt_min300,visual,ま,blur,44.5377,1.0,121,41
rt_min300,visual,ま,fade,1.43708,0.96278,120,40
rt_min300,visual,ま,reveal,2.4149,1.0,120,39
rt_min300,visual,ま,wipe,3.96602,0.95238,126,42
rt_min300,visual,ら,blur,47.6378,1.0,120,39
rt_min300,visual,ら,fade,1.68598,1.0,126,42
rt_min300,visual,ら,reveal,0.9923,0.89458,121,41
rt_min300,visual,ら,wipe,24.78022,0.875,121,40
same_response_30pct,audio,あ,,19.88599,0.97546,230,87
same_response_30pct,audio,か,,33.14861,1.0,228,87
same_response_30pct,audio,が,,5.09399,0.00877,228,87
same_response_30pct,audio,ぱ,,15.02445,0.43293,230,87
same_response_30pct,audio,し,,23.8309,0.28467,226,87
same_response_30pct,audio,つ,,4.52246,0.69705,230,87
same_response_30pct,audio,ま,,46.02564,0.91028,229,87
same_response_30pct,audio,ら,,45.32955,0.41231,226,87
same_response_30pct,visual,あ,blur,43.578,1.0,114,38
same_response_30pct,visual,あ,fade,1.37663,1.0,114,38
same_response_30pct,visual,あ,reveal,1.18829,0.95743,126,42
same_response_30pct,visual,あ,wipe,23.13038,1.0,117,38
same_response_30pct,visual,か,blur,45.56228,1.0,126,42
same_response_30pct,visual,か,fade,1.32765,0.9328,118,38
same_response_30pct,visual,か,reveal,1.67565,1.0,114,38
same_response_30pct,visual,か,wipe,39.27028,1.0,114,38
same_response_30pct,visual,が,blur,56.10575,1.0,114,38
same_response_30pct,visual,が,fade,1.78777,0.96594,115,38
same_response_30pct,visual,が,reveal,3.29894,0.92247,117,38
same_response_30pct,visual,が,wipe,55.34718,1.0,126,42
same_response_30pct,visual,ぱ,blur,68.98762,1.0,117,38
same_response_30pct,visual,ぱ,fade,2.71828,0.96168,126,42
same_response_30pct,visual,ぱ,reveal,3.51524,0.89131,114,38
same_response_30pct,visual,ぱ,wipe,35.61314,0.92308,114,38
same_response_30pct,visual,し,blur,34.21278,1.0,114,38
same_response_30pct,visual,し,fade,1.45957,1.0,114,38
same_response_30pct,visual,し,reveal,1.24485,0.97666,126,42
same_response_30pct,visual,し,wipe,17.49488,1.0,117,38
same_response_30pct,visual,つ,blur,31.37188,1.0,127,42
same_response_30pct,visual,つ,fade,1.54242,1.0,118,38
same_response_30pct,visual,つ,reveal,1.21134,0.95779,114,38
same_response_30pct,visual,つ,wipe,29.09318,0.93229,114,38
same_response_30pct,visual,ま,blur,44.18958,1.0,114,38
same_response_30pct,visual,ま,fade,1.41821,0.96002,114,38
same_response_30pct,visual,ま,reveal,2.39998,1.0,117,38
same_response_30pct,visual,ま,wipe,3.96602,0.95238,126,42
same_response_30pct,visual,ら,blur,47.45958,1.0,117,38
same_response_30pct,visual,ら,fade,1.68598,1.0,126,42
same_response_30pct,visual,ら,reveal,1.03149,0.91209,114,38
same_response_30pct,visual,ら,wipe,24.77808,0.875,115,38
full_check_lt50pct,audio,あ,,19.38941,1.0,164,62
full_check_lt50pct,audio,か,,34.40463,1.0,164,62
full_check_lt50pct,audio,が,,83.57547,0.04762,161,62
full_check_lt50pct,audio,ぱ,,14.9793,0.42372,165,62
full_check_lt50pct,audio,し,,26.61383,0.34109,160,62
full_check_lt50pct,audio,つ,,-19.71339,0.77507,164,62
full_check_lt50pct,audio,ま,,45.98525,0.97232,163,62
full_check_lt50pct,audio,ら,,45.65112,0.44934,161,62
full_check_lt50pct,visual,あ,blur,44.5456,1.0,120,40
full_check_lt50pct,visual,あ,fade,1.31654,1.0,120,40
full_check_lt50pct,visual,あ,reveal,1.18829,0.95743,126,42
full_check_lt50pct,visual,あ,wipe,23.41955,1.0,120,39
full_check_lt50pct,visual,か,blur,45.56228,1.0,126,42
full_check_lt50pct,visual,か,fade,1.39455,0.93467,121,39
full_check_lt50pct,visual,か,reveal,1.69459,1.0,120,40
full_check_lt50pct,visual,か,wipe,38.95907,1.0,120,40
full_check_lt50pct,visual,が,blur,56.54411,1.0,120,40
full_check_lt50pct,visual,が,fade,1.85762,0.96762,121,40
full_check_lt50pct,visual,が,reveal,3.33637,0.92597,120,39
full_check_lt50pct,visual,が,wipe,55.34718,1.0,126,42
full_check_lt50pct,visual,ぱ,blur,68.84793,1.0,120,39
full_check_lt50pct,visual,ぱ,fade,2.71828,0.96168,126,42
full_check_lt50pct,visual,ぱ,reveal,3.51127,0.89914,120,40
full_check_lt50pct,visual,ぱ,wipe,99.45348,0.93334,120,40
full_check_lt50pct,visual,し,blur,34.115,1.0,120,40
full_check_lt50pct,visual,し,fade,1.45557,1.0,121,41
full_check_lt50pct,visual,し,reveal,1.24485,0.97666,126,42
full_check_lt50pct,visual,し,wipe,17.2001,1.0,120,39
full_check_lt50pct,visual,つ,blur,31.37188,1.0,127,42
full_check_lt50pct,visual,つ,fade,1.58399,1.0,121,39
full_check_lt50pct,visual,つ,reveal,1.61739,1.0,120,40
full_check_lt50pct,visual,つ,wipe,30.31764,0.93269,120,40
full_check_lt50pct,visual,ま,blur,44.5377,1.0,121,41
full_check_lt50pct,visual,ま,fade,1.43708,0.96278,120,40
full_check_lt50pct,visual,ま,reveal,2.4149,1.0,120,39
full_check_lt50pct,visual,ま,wipe,3.96602,0.95238,126,42
full_check_lt50pct,visual,ら,blur,47.6378,1.0,120,39
full_check_lt50pct,visual,ら,fade,1.68598,1.0,126,42
full_check_lt50pct,visual,ら,reveal,1.0518,0.91799,120,40
full_check_lt50pct,visual,ら,wipe,24.78022,0.875,121,40
resume_or_replay,audio,あ,,19.66199,0.96364,231,88
resume_or_replay,audio,か,,34.22039,1.0,231,88
resume_or_replay,audio,が,,-10.77562,0.00866,231,88
resume_or_replay,audio,ぱ,,15.10106,0.42424,231,88
resume_or_replay,audio,し,,23.35942,0.27136,230,88
resume_or_replay,audio,つ,,4.23573,0.65234,232,88
resume_or_replay,audio,ま,,45.56772,0.90054,232,88
resume_or_replay,audio,ら,,46.17177,0.42324,230,88
resume_or_replay,visual,あ,blur,43.57846,1.0,108,36
resume_or_replay,visual,あ,fade,1.3333,1.0,114,38
resume_or_replay,visual,あ,reveal,1.2838,0.95596,117,39
resume_or_replay,visual,あ,wipe,25.12129,1.0,87,29
resume_or_replay,visual,か,blur,46.02984,1.0,117,39
resume_or_replay,visual,か,fade,1.48537,0.93774,88,29
resume_or_replay,visual,か,reveal,1.74935,1.0,114,38
resume_or_replay,visual,か,wipe,35.80237,0.93322,108,36
resume_or_replay,visual,が,blur,54.88111,1.0,114,38
resume_or_replay,visual,が,fade,1.83827,0.94334,109,36
resume_or_replay,visual,が,reveal,1.81061,0.78049,87,29
resume_or_replay,visual,が,wipe,90.66022,1.0,117,39
resume_or_replay,visual,ぱ,blur,73.24363,1.0,87,29
resume_or_replay,visual,ぱ,fade,2.73256,0.95977,117,39
resume_or_replay,visual,ぱ,reveal,3.46917,0.8564,108,36
resume_or_replay,visual,ぱ,wipe,67.85116,0.92308,114,38
resume_or_replay,visual,し,blur,34.09815,0.96201,108,36
resume_or_replay,visual,し,fade,1.26912,0.98378,114,38
resume_or_replay,visual,し,reveal,1.32481,0.97518,117,39
resume_or_replay,visual,し,wipe,17.60901,1.0,87,29
resume_or_replay,visual,つ,blur,29.97503,1.0,118,39
resume_or_replay,visual,つ,fade,1.53597,1.0,88,29
resume_or_replay,visual,つ,reveal,1.23636,0.95849,114,38
resume_or_replay,visual,つ,wipe,28.80549,0.91454,108,36
resume_or_replay,visual,ま,blur,42.93307,1.0,114,38
resume_or_replay,visual,ま,fade,1.32963,0.92144,108,36
resume_or_replay,visual,ま,reveal,2.66107,1.0,87,29
resume_or_replay,visual,ま,wipe,3.95302,0.96552,117,39
resume_or_replay,visual,ら,blur,46.11935,1.0,87,29
resume_or_replay,visual,ら,fade,1.75146,1.0,117,39
resume_or_replay,visual,ら,reveal,0.94642,0.87375,108,36
resume_or_replay,visual,ら,wipe,24.93951,0.875,115,38
refresh_hz_out_of_range,visual,あ,blur,43.62793,1.0,84,28
refresh_hz_out_of_range,visual,あ,fade,1.37357,1.0,81,27
refresh_hz_out_of_range,visual,あ,reveal,1.2028,0.97518,93,31
refresh_hz_out_of_range,visual,あ,wipe,21.6293,1.0,93,30
refresh_hz_out_of_range,visual,か,blur,42.07936,1.0,93,31
refresh_hz_out_of_range,visual,か,fade,1.46819,0.94054,93,30
refresh_hz_out_of_range,visual,か,reveal,1.84365,1.0,81,27
refresh_hz_out_of_range,visual,か,wipe,42.18527,0.87564,84,28
refresh_hz_out_of_range,visual,が,blur,58.833,1.0,81,27
refresh_hz_out_of_range,visual,が,fade,1.64734,0.93121,85,28
refresh_hz_out_of_range,visual,が,reveal,3.63986,0.9054,93,30
refresh_hz_out_of_range,visual,が,wipe,94.06325,1.0,93,31
refresh_hz_out_of_range,visual,ぱ,blur,65.80893,1.0,93,30
refresh_hz_out_of_range,visual,ぱ,fade,2.63762,0.94439,93,31
refresh_hz_out_of_range,visual,ぱ,reveal,3.42393,0.83878,84,28
refresh_hz_out_of_range,visual,ぱ,wipe,48.50362,1.0,81,27
refresh_hz_out_of_range,visual,し,blur,30.83809,0.92118,84,28
refresh_hz_out_of_range,visual,し,fade,1.38986,0.97967,82,28
refresh_hz_out_of_range,visual,し,reveal,1.23834,0.96934,93,31
refresh_hz_out_of_range,visual,し,wipe,16.2628,1.0,93,30
refresh_hz_out_of_range,visual,つ,blur,28.98698,1.0,94,31
refresh_hz_out_of_range,visual,つ,fade,1.66189,1.0,93,30
refresh_hz_out_of_range,visual,つ,reveal,1.49554,1.0,81,27
refresh_hz_out_of_range,visual,つ,wipe,28.3799,1.0,84,28
refresh_hz_out_of_range,visual,ま,blur,45.17338,1.0,82,28
refresh_hz_out_of_range,visual,ま,fade,1.35428,0.89273,84,28
refresh_hz_out_of_range,visual,ま,reveal,2.24691,1.0,93,30
refresh_hz_out_of_range,visual,ま,wipe,4.02915,0.95652,93,31
refresh_hz_out_of_range,visual,ら,blur,47.2549,1.0,93,30
refresh_hz_out_of_range,visual,ら,fade,1.60672,1.0,93,31
refresh_hz_out_of_range,visual,ら,reveal,1.04968,0.89996,84,28
refresh_hz_out_of_range,visual,ら,wipe,25.24652,0.83333,81,27
wireless_audio,audio,あ,,19.68519,0.96,210,80
wireless_audio,audio,か,,36.43764,1.0,209,80
wireless_audio,audio,が,,66.8671,0.03333,211,80
wireless_audio,audio,ぱ,,15.09957,0.42,210,80
wireless_audio,audio,し,,20.11865,0.24669,209,80
wireless_audio,audio,つ,,7.45055,0.68434,211,80
wireless_audio,audio,ま,,45.27403,0.89193,211,80
wireless_audio,audio,ら,,44.15129,0.39956,209,80
nominal_vs_actual,visual,あ,blur,45.41926,1.0,123,41
