char,family,axis,level,n_correct,n_trials,accuracy
ら,reveal,actual_s,0.5,3,16,0.1875
ら,reveal,actual_s,1.0,7,15,0.4667
ら,reveal,actual_s,2.0,13,16,0.8125
ら,reveal,actual_s,4.0,12,15,0.8
ら,reveal,actual_s,9.0,14,15,0.9333
ら,reveal,actual_s,100.0,15,16,0.9375
ら,wipe,actual_s,0.5,0,14,0.0
ら,wipe,actual_s,1.0,0,15,0.0
ら,wipe,actual_s,2.0,0,16,0.0
ら,wipe,actual_s,4.0,2,14,0.1429
ら,wipe,actual_s,8.0,0,17,0.0
ら,wipe,actual_s,14.0,0,14,0.0
ら,wipe,actual_s,25.0,8,15,0.5333
ら,wipe,actual_s,100.0,14,16,0.875
