modality,char,family,type,level,main_accuracy,main_n,compare_group,decoy_level,decoy_accuracy,decoy_n,level_diff,diff
audio,が,,dakuon,45.0,0.0,33,same_type_decoy,45.0,0.05405,74,0.0,-0.05405
audio,が,,dakuon,60.0,0.0,35,all_decoy,60.0,0.44186,172,0.0,-0.44186
audio,が,,dakuon,60.0,0.0,35,same_type_decoy,60.0,0.2037,54,0.0,-0.2037
audio,が,,dakuon,85.0,0.0303,33,all_decoy,85.0,0.50769,65,0.0,-0.47739
audio,が,,dakuon,85.0,0.0303,33,same_type_decoy,85.0,0.2,25,0.0,-0.1697
audio,し,,seion,10.0,0.06061,33,all_decoy,10.0,0.05911,406,0.0,0.00149
audio,し,,seion,10.0,0.06061,33,same_type_decoy,10.0,0.08871,248,0.0,-0.0281
audio,し,,seion,20.0,0.05882,34,all_decoy,20.0,0.17838,185,0.0,-0.11955
audio,し,,seion,20.0,0.05882,34,same_type_decoy,20.0,0.31373,102,0.0,-0.2549
audio,し,,seion,30.0,0.26471,34,all_decoy,30.0,0.11679,137,0.0,0.14792
audio,し,,seion,30.0,0.26471,34,same_type_decoy,30.0,0.15493,71,0.0,0.10978
audio,し,,seion,35.0,0.21212,33,all_decoy,35.0,0.20243,247,0.0,0.00969
audio,し,,seion,35.0,0.21212,33,same_type_decoy,35.0,0.28378,148,0.0,-0.07166
audio,し,,seion,40.0,0.25714,35,all_decoy,40.0,0.18367,147,0.0,0.07347
audio,し,,seion,40.0,0.25714,35,same_type_decoy,40.0,0.21905,105,0.0,0.0381
audio,し,,seion,50.0,0.42424,33,all_decoy,50.0,0.25455,165,0.0,0.1697
audio,し,,seion,50.0,0.42424,33,same_type_decoy,50.0,0.34343,99,0.0,0.08081
audio,し,,seion,60.0,0.12121,33,all_decoy,60.0,0.44186,172,0.0,-0.32065
audio,し,,seion,60.0,0.12121,33,same_type_decoy,60.0,0.55085,118,0.0,-0.42964
audio,つ,,seion,10.0,0.4,35,all_decoy,10.0,0.05911,406,0.0,0.34089
audio,つ,,seion,10.0,0.4,35,same_type_decoy,10.0,0.08871,248,0.0,0.31129
audio,つ,,seion,20.0,0.48485,33,all_decoy,20.0,0.17838,185,0.0,0.30647
audio,つ,,seion,20.0,0.48485,33,same_type_decoy,20.0,0.31373,102,0.0,0.17112
audio,つ,,seion,30.0,0.70588,34,all_decoy,30.0,0.11679,137,0.0,0.58909
audio,つ,,seion,30.0,0.70588,34,same_type_decoy,30.0,0.15493,71,0.0,0.55095
audio,つ,,seion,35.0,0.41176,34,all_decoy,35.0,0.20243,247,0.0,0.20934
audio,つ,,seion,35.0,0.41176,34,same_type_decoy,35.0,0.28378,148,0.0,0.12798
audio,つ,,seion,50.0,0.63636,33,all_decoy,50.0,0.25455,165,0.0,0.38182
audio,つ,,seion,50.0,0.63636,33,same_type_decoy,50.0,0.34343,99,0.0,0.29293
audio,つ,,seion,65.0,0.65714,35,all_decoy,65.0,0.45946,74,0.0,0.19768
audio,つ,,seion,65.0,0.65714,35,same_type_decoy,65.0,0.55319,47,0.0,0.10395
audio,つ,,seion,85.0,0.66667,33,all_decoy,85.0,0.50769,65,0.0,0.15897
audio,つ,,seion,85.0,0.66667,33,same_type_decoy,85.0,0.7,40,0.0,-0.03333
audio,ぱ,,handakuon,10.0,0.0,34,all_decoy,10.0,0.05911,406,0.0,-0.05911
audio,ぱ,,handakuon,10.0,0.0,34,same_type_decoy,10.0,0.0,31,0.0,0.0
