char,family,gyou,type,ink_pixels,ink_quartile,gamma,lambda,mu,sigma,converged,n_trials,note,lambda_observed_full,n_full
や,fade,や,seion,7331,Q2,0.01389,1.0,1.33516,0.0996,True,18,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
や,reveal,や,seion,7331,Q2,0.01389,1.0,3.61931,0.0089,True,6,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);full実測データなし,,0
や,wipe,や,seion,7331,Q2,0.01389,0.875,13.87955,0.10546,True,27,,1.0,5
ゆ,blur,や,seion,9303,Q4(画素多),0.01389,1.0,43.60125,9.02953,True,9,,1.0,2
ゆ,fade,や,seion,9303,Q4(画素多),0.01389,0.92316,1.30814,0.0996,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
ゆ,reveal,や,seion,9303,Q4(画素多),0.01389,1.0,1.93299,0.0997,True,18,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,4
ゆ,wipe,や,seion,9303,Q4(画素多),0.01389,1.0,24.91687,0.12369,True,36,,1.0,5
よ,blur,や,seion,6786,Q2,0.01389,1.0,38.42647,0.57967,True,15,,1.0,1
よ,fade,や,seion,6786,Q2,0.01389,1.0,1.83275,0.76721,True,33,,1.0,4
よ,reveal,や,seion,6786,Q2,0.01389,0.93793,0.88695,0.39267,True,36,,1.0,4
よ,wipe,や,seion,6786,Q2,0.01389,1.0,25.01449,0.51426,True,21,,1.0,3
り,blur,ら,seion,5559,Q1(画素少),0.01389,1.0,41.86329,6.75586,True,21,,1.0,2
り,fade,ら,seion,5559,Q1(画素少),0.01389,1.0,3.38298,2.26679,True,30,,1.0,5
り,reveal,ら,seion,5559,Q1(画素少),0.01389,1.0,0.1901,2.42419,True,21,,1.0,2
り,wipe,ら,seion,5559,Q1(画素少),0.01389,1.0,37.80971,22.89582,True,27,,1.0,4
る,blur,ら,seion,8707,Q4(画素多),0.01389,1.0,43.04722,12.68186,True,22,,1.0,4
る,fade,ら,seion,8707,Q4(画素多),0.01389,1.0,1.56547,0.36643,True,27,,1.0,5
る,reveal,ら,seion,8707,Q4(画素多),0.01389,1.0,3.31686,0.0089,True,9,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);full実測データなし,,0
る,wipe,ら,seion,8707,Q4(画素多),0.01389,1.0,14.42121,0.28884,True,39,,1.0,7
れ,blur,ら,seion,8391,Q3,0.01389,1.0,46.56809,6.29033,True,15,,1.0,1
れ,fade,ら,seion,8391,Q3,0.01389,1.0,1.29518,0.0996,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,3
れ,reveal,ら,seion,8391,Q3,0.01389,0.80004,1.08542,0.0999,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λとfull実測が0.20ポイント食い違う,1.0,1
れ,wipe,ら,seion,8391,Q3,0.01389,0.55556,5.97841,0.0995,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λとfull実測が0.44ポイント食い違う,1.0,2
ろ,blur,ら,seion,6984,Q2,0.01389,1.0,47.34157,17.13422,True,33,,1.0,2
ろ,fade,ら,seion,6984,Q2,0.01389,0.93395,1.22959,0.0996,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,4
ろ,reveal,ら,seion,6984,Q2,0.01389,1.0,1.46605,0.0997,True,9,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
ろ,wipe,ら,seion,6984,Q2,0.01389,1.0,39.25088,12.75429,True,33,,1.0,5
わ,blur,わ,seion,8283,Q3,0.01389,1.0,45.76615,12.65087,True,18,,1.0,1
わ,fade,わ,seion,8283,Q3,0.01389,1.0,2.81465,0.7621,True,18,,1.0,2
わ,reveal,わ,seion,8283,Q3,0.01389,1.0,2.03086,0.64197,True,18,,1.0,1
わ,wipe,わ,seion,8283,Q3,0.01389,1.0,36.8829,16.43618,True,33,,1.0,7
を,blur,わ,seion,8928,Q4(画素多),0.01389,1.0,45.4622,16.89019,True,21,,1.0,3
を,fade,わ,seion,8928,Q4(画素多),0.01389,1.0,1.75844,0.49755,True,21,,1.0,1
を,reveal,わ,seion,8928,Q4(画素多),0.01389,1.0,1.42483,0.71736,True,36,,1.0,5
を,wipe,わ,seion,8928,Q4(画素多),0.01389,1.0,97.15772,0.0995,True,39,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,5
ゔ,blur,あ,seion,6333,Q2,0.01389,1.0,75.72185,30.49558,True,15,,1.0,2
ゔ,fade,あ,seion,6333,Q2,0.01389,0.79874,1.12566,0.0996,True,27,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λとfull実測が0.20ポイント食い違う,1.0,4
ゔ,reveal,あ,seion,6333,Q2,0.01389,0.8,4.90948,0.0089,True,18,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);full実測データなし,,0
ゔ,wipe,あ,seion,6333,Q2,0.01389,1.0,87.15849,0.0995,True,33,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
