char,family,gyou,type,ink_pixels,ink_quartile,gamma,lambda,mu,sigma,converged,n_trials,note,lambda_observed_full,n_full
こ,wipe,か,seion,4666,Q1(画素少),0.01389,1.0,18.52115,0.0995,True,12,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
ご,blur,か,dakuon,5352,Q1(画素少),0.01389,1.0,7.43789,21.0388,True,21,,1.0,2
ご,fade,か,dakuon,5352,Q1(画素少),0.01389,0.79155,2.55511,0.5353,True,27,推定λとfull実測が0.21ポイント食い違う,1.0,4
ご,reveal,か,dakuon,5352,Q1(画素少),0.01389,1.0,3.0007,0.0999,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,3
ご,wipe,か,dakuon,5352,Q1(画素少),0.01389,1.0,87.82783,0.0995,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
さ,blur,さ,seion,6465,Q2,0.01389,1.0,40.32595,15.13209,True,39,,1.0,5
さ,fade,さ,seion,6465,Q2,0.01389,1.0,1.30852,0.67991,True,24,,1.0,2
さ,reveal,さ,seion,6465,Q2,0.01389,1.0,1.70357,0.45405,True,27,,1.0,5
さ,wipe,さ,seion,6465,Q2,0.01389,1.0,25.38134,0.51834,True,27,,1.0,5
ざ,blur,さ,dakuon,7282,Q2,0.01389,1.0,58.719,9.59609,True,24,,1.0,3
ざ,fade,さ,dakuon,7282,Q2,0.01389,1.0,1.84882,1.00087,True,18,,1.0,3
ざ,reveal,さ,dakuon,7282,Q2,0.01389,1.0,3.54165,1.05315,True,52,,1.0,5
ざ,wipe,さ,dakuon,7282,Q2,0.01389,0.0,-6.27625,0.32149,True,12,full実測データなし,,0
じ,blur,さ,dakuon,5868,Q1(画素少),0.01389,1.0,51.1245,30.81096,True,27,,1.0,4
じ,fade,さ,dakuon,5868,Q1(画素少),0.01389,1.0,1.50312,0.40166,True,21,,1.0,2
じ,reveal,さ,dakuon,5868,Q1(画素少),0.01389,1.0,1.86328,0.0999,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,5
じ,wipe,さ,dakuon,5868,Q1(画素少),0.01389,1.0,85.2298,0.0995,True,15,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,3
す,blur,さ,seion,7531,Q2,0.01389,0.83334,36.88191,0.81881,True,24,推定λとfull実測が0.17ポイント食い違う,1.0,3
す,fade,さ,seion,7531,Q2,0.01389,0.92858,1.38765,0.0996,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,5
す,reveal,さ,seion,7531,Q2,0.01389,1.0,2.37794,1.92926,True,21,,1.0,4
す,wipe,さ,seion,7531,Q2,0.01389,1.0,22.74196,5.1581,True,18,,1.0,2
ず,blur,さ,dakuon,8326,Q3,0.01389,1.0,51.12459,11.32735,True,30,,1.0,2
ず,fade,さ,dakuon,8326,Q3,0.01389,1.0,2.7026,0.71403,True,30,,1.0,1
ず,reveal,さ,dakuon,8326,Q3,0.01389,1.0,2.77636,0.98076,True,30,,1.0,5
ず,wipe,さ,dakuon,8326,Q3,0.01389,1.0,59.92786,0.0995,True,27,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
せ,blur,さ,seion,8161,Q3,0.01389,1.0,52.30829,9.89451,True,36,,1.0,3
せ,fade,さ,seion,8161,Q3,0.01389,1.0,1.18357,0.45632,True,24,,1.0,2
せ,reveal,さ,seion,8161,Q3,0.01389,1.0,2.97049,1.43928,True,12,,1.0,2
せ,wipe,さ,seion,8161,Q3,0.01389,0.66667,12.20653,0.0245,True,18,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);full実測データなし,,0
ぜ,blur,さ,dakuon,8870,Q4(画素多),0.01389,1.0,44.0184,19.38685,True,21,,1.0,3
ぜ,fade,さ,dakuon,8870,Q4(画素多),0.01389,0.8691,1.86739,0.35022,True,33,,1.0,1
ぜ,reveal,さ,dakuon,8870,Q4(画素多),0.01389,0.8748,1.56317,0.0999,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
ぜ,wipe,さ,dakuon,8870,Q4(画素多),0.01389,1.0,52.86676,0.0995,True,27,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
そ,blur,さ,seion,7450,Q2,0.01389,1.0,53.9735,11.48753,True,15,,1.0,1
そ,fade,さ,seion,7450,Q2,0.01389,1.0,1.35115,0.8082,True,27,,1.0,4
そ,reveal,さ,seion,7450,Q2,0.01389,0.86588,0.66154,0.45091,True,33,推定λとfull実測が0.20ポイント食い違う,0.66667,3
そ,wipe,さ,seion,7450,Q2,0.01389,1.0,25.40189,0.54626,True,21,,1.0,3
ぞ,blur,さ,dakuon,8187,Q3,0.01389,0.90184,44.84556,10.16748,True,30,推定λとfull実測が0.15ポイント食い違う,0.75,4
ぞ,fade,さ,dakuon,8187,Q3,0.01389,1.0,2.14949,0.0992,True,6,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
ぞ,reveal,さ,dakuon,8187,Q3,0.01389,1.0,3.3572,0.86071,True,30,,1.0,5
ぞ,wipe,さ,dakuon,8187,Q3,0.01389,1.0,71.08152,1.35458,True,9,,1.0,2
た,blur,た,seion,7380,Q2,0.01389,1.0,47.7106,0.4306,True,27,,1.0,2
た,fade,た,seion,7380,Q2,0.01389,1.0,2.05788,0.53722,True,18,,1.0,1
た,reveal,た,seion,7380,Q2,0.01389,0.85453,0.71981,0.0999,True,12,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
た,wipe,た,seion,7380,Q2,0.01389,1.0,31.42833,10.60413,True,15,,1.0,2
だ,blur,た,dakuon,8151,Q3,0.01389,1.0,60.64984,0.074,True,30,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,5
だ,fade,た,dakuon,8151,Q3,0.01389,1.0,2.27328,0.0996,True,12,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
