cut,modality,char,family,mu,lambda,n_trials,n_participants,converged
full_acc_healthy>=100%,visual,か,blur,45.56228,1.0,126,161,True
full_acc_healthy>=100%,visual,か,fade,1.39455,0.93467,121,161,True
full_acc_healthy>=100%,visual,か,reveal,1.53038,1.0,117,161,True
full_acc_healthy>=100%,visual,か,wipe,38.95907,1.0,120,161,True
full_acc_healthy>=100%,visual,が,blur,56.99939,1.0,117,161,True
full_acc_healthy>=100%,visual,が,fade,1.85762,0.96762,121,161,True
full_acc_healthy>=100%,visual,が,reveal,3.33637,0.92597,120,161,True
full_acc_healthy>=100%,visual,が,wipe,55.34718,1.0,126,161,True
full_acc_healthy>=100%,visual,ぱ,blur,68.84793,1.0,120,161,True
full_acc_healthy>=100%,visual,ぱ,fade,2.71828,0.96168,126,161,True
full_acc_healthy>=100%,visual,ぱ,reveal,3.51127,0.89914,120,161,True
full_acc_healthy>=100%,visual,ぱ,wipe,45.74046,0.92308,117,161,True
full_acc_healthy>=100%,visual,し,blur,34.115,1.0,120,161,True
full_acc_healthy>=100%,visual,し,fade,1.356,0.98316,118,161,True
full_acc_healthy>=100%,visual,し,reveal,1.24485,0.97666,126,161,True
full_acc_healthy>=100%,visual,し,wipe,17.2001,1.0,120,161,True
full_acc_healthy>=100%,visual,つ,blur,31.37188,1.0,127,161,True
full_acc_healthy>=100%,visual,つ,fade,1.58399,1.0,121,161,True
full_acc_healthy>=100%,visual,つ,reveal,1.59274,1.0,117,161,True
full_acc_healthy>=100%,visual,つ,wipe,30.31764,0.93269,120,161,True
full_acc_healthy>=100%,visual,ま,blur,44.9096,1.0,118,161,True
full_acc_healthy>=100%,visual,ま,fade,1.43708,0.96278,120,161,True
full_acc_healthy>=100%,visual,ま,reveal,2.4149,1.0,120,161,True
full_acc_healthy>=100%,visual,ま,wipe,3.96602,0.95238,126,161,True
full_acc_healthy>=100%,visual,ら,blur,47.6378,1.0,120,161,True
full_acc_healthy>=100%,visual,ら,fade,1.68598,1.0,126,161,True
full_acc_healthy>=100%,visual,ら,reveal,1.0518,0.91799,120,161,True
full_acc_healthy>=100%,visual,ら,wipe,24.81209,0.875,118,161,True
same_response<20%,audio,あ,,19.72428,0.93651,88,33,True
same_response<20%,audio,か,,48.24365,1.0,87,33,True
same_response<20%,audio,が,,63.16912,0.07692,85,33,True
same_response<20%,audio,ぱ,,23.68898,0.51021,86,33,True
same_response<20%,audio,し,,21.36525,0.28997,89,33,True
same_response<20%,audio,つ,,19.68049,0.64409,85,33,True
same_response<20%,audio,ま,,49.32105,0.86487,88,33,True
same_response<20%,audio,ら,,34.99271,0.38,85,33,True
same_response<20%,visual,あ,blur,40.35116,1.0,90,134,True
same_response<20%,visual,あ,fade,1.30505,0.97999,99,134,True
same_response<20%,visual,あ,reveal,1.1655,0.9516,111,134,True
same_response<20%,visual,あ,wipe,23.27447,1.0,105,134,True
same_response<20%,visual,か,blur,47.41515,1.0,111,134,True
same_response<20%,visual,か,fade,1.32584,0.92356,106,134,True
same_response<20%,visual,か,reveal,1.51812,1.0,99,134,True
same_response<20%,visual,か,wipe,44.1015,1.0,90,134,True
same_response<20%,visual,が,blur,57.35442,1.0,99,134,True
same_response<20%,visual,が,fade,1.79334,0.97817,91,134,True
same_response<20%,visual,が,reveal,3.28395,0.91669,105,134,True
same_response<20%,visual,が,wipe,71.89015,1.0,111,134,True
same_response<20%,visual,ぱ,blur,67.60763,1.0,105,134,True
same_response<20%,visual,ぱ,fade,2.71234,0.95783,111,134,True
same_response<20%,visual,ぱ,reveal,3.10739,0.91025,90,134,True
same_response<20%,visual,ぱ,wipe,36.3835,0.90909,99,134,True
same_response<20%,visual,し,blur,34.00894,1.0,90,134,True
same_response<20%,visual,し,fade,1.40746,0.9812,99,134,True
same_response<20%,visual,し,reveal,1.15901,0.9717,111,134,True
same_response<20%,visual,し,wipe,18.1908,1.0,105,134,True
same_response<20%,visual,つ,blur,29.68967,1.0,112,134,True
same_response<20%,visual,つ,fade,1.56894,1.0,106,134,True
same_response<20%,visual,つ,reveal,1.13541,0.94736,99,134,True
same_response<20%,visual,つ,wipe,28.02388,0.90639,90,134,True
same_response<20%,visual,ま,blur,44.52608,1.0,99,134,True
same_response<20%,visual,ま,fade,1.27985,0.95519,90,134,True
same_response<20%,visual,ま,reveal,2.30493,1.0,105,134,True
same_response<20%,visual,ま,wipe,3.97673,0.94444,111,134,True
same_response<20%,visual,ら,blur,49.09337,1.0,105,134,True
same_response<20%,visual,ら,fade,1.65599,1.0,111,134,True
same_response<20%,visual,ら,reveal,0.98002,0.92711,90,134,True
same_response<20%,visual,ら,wipe,24.81592,0.86667,100,134,True
same_response<30%,audio,あ,,19.88599,0.97546,230,87,True
same_response<30%,audio,か,,33.14861,1.0,228,87,True
same_response<30%,audio,が,,5.09399,0.00877,228,87,True
same_response<30%,audio,ぱ,,15.02445,0.43293,230,87,True
same_response<30%,audio,し,,23.8309,0.28467,226,87,True
same_response<30%,audio,つ,,4.52246,0.69705,230,87,True
same_response<30%,audio,ま,,46.02564,0.91028,229,87,True
same_response<30%,audio,ら,,45.32955,0.41231,226,87,True
same_response<30%,visual,あ,blur,43.578,1.0,114,156,True
same_response<30%,visual,あ,fade,1.37663,1.0,114,156,True
same_response<30%,visual,あ,reveal,1.18829,0.95743,126,156,True
same_response<30%,visual,あ,wipe,23.13038,1.0,117,156,True
same_response<30%,visual,か,blur,45.56228,1.0,126,156,True
same_response<30%,visual,か,fade,1.32765,0.9328,118,156,True
same_response<30%,visual,か,reveal,1.67565,1.0,114,156,True
same_response<30%,visual,か,wipe,39.27028,1.0,114,156,True
same_response<30%,visual,が,blur,56.10575,1.0,114,156,True
same_response<30%,visual,が,fade,1.78777,0.96594,115,156,True
same_response<30%,visual,が,reveal,3.29894,0.92247,117,156,True
same_response<30%,visual,が,wipe,55.34718,1.0,126,156,True
same_response<30%,visual,ぱ,blur,68.98762,1.0,117,156,True
same_response<30%,visual,ぱ,fade,2.71828,0.96168,126,156,True
same_response<30%,visual,ぱ,reveal,3.51524,0.89131,114,156,True
same_response<30%,visual,ぱ,wipe,35.61314,0.92308,114,156,True
same_response<30%,visual,し,blur,34.21278,1.0,114,156,True
same_response<30%,visual,し,fade,1.45957,1.0,114,156,True
same_response<30%,visual,し,reveal,1.24485,0.97666,126,156,True
same_response<30%,visual,し,wipe,17.49488,1.0,117,156,True
same_response<30%,visual,つ,blur,31.37188,1.0,127,156,True
same_response<30%,visual,つ,fade,1.54242,1.0,118,156,True
same_response<30%,visual,つ,reveal,1.21134,0.95779,114,156,True
same_response<30%,visual,つ,wipe,29.09318,0.93229,114,156,True
same_response<30%,visual,ま,blur,44.18958,1.0,114,156,True
same_response<30%,visual,ま,fade,1.41821,0.96002,114,156,True
same_response<30%,visual,ま,reveal,2.39998,1.0,117,156,True
same_response<30%,visual,ま,wipe,3.96602,0.95238,126,156,True
same_response<30%,visual,ら,blur,47.45958,1.0,117,156,True
same_response<30%,visual,ら,fade,1.68598,1.0,126,156,True
same_response<30%,visual,ら,reveal,1.03149,0.91209,114,156,True
same_response<30%,visual,ら,wipe,24.77808,0.875,115,156,True
same_response<50%,audio,あ,,19.46976,0.97605,235,89,True
same_response<50%,audio,か,,33.92106,1.0,233,89,True
same_response<50%,audio,が,,-10.63113,0.00858,233,89,True
same_response<50%,audio,ぱ,,15.12109,0.43114,235,89,True
same_response<50%,audio,し,,23.92807,0.27785,232,89,True
same_response<50%,audio,つ,,3.12254,0.67659,235,89,True
same_response<50%,audio,ま,,45.98002,0.91189,234,89,True
same_response<50%,audio,ら,,45.85451,0.41956,232,89,True
same_response<50%,visual,あ,blur,43.81339,1.0,117,160,True
same_response<50%,visual,あ,fade,1.31654,1.0,120,160,True
same_response<50%,visual,あ,reveal,1.18829,0.95743,126,160,True
same_response<50%,visual,あ,wipe,23.41955,1.0,120,160,True
same_response<50%,visual,か,blur,45.56228,1.0,126,160,True
same_response<50%,visual,か,fade,1.39455,0.93467,121,160,True
same_response<50%,visual,か,reveal,1.69459,1.0,120,160,True
same_response<50%,visual,か,wipe,39.10941,1.0,117,160,True
same_response<50%,visual,が,blur,56.54411,1.0,120,160,True
same_response<50%,visual,が,fade,1.85007,0.9671,118,160,True
same_response<50%,visual,が,reveal,3.33637,0.92597,120,160,True
same_response<50%,visual,が,wipe,55.34718,1.0,126,160,True
same_response<50%,visual,ぱ,blur,68.84793,1.0,120,160,True
same_response<50%,visual,ぱ,fade,2.71828,0.96168,126,160,True
same_response<50%,visual,ぱ,reveal,3.54192,0.89531,117,160,True
same_response<50%,visual,ぱ,wipe,99.45348,0.93334,120,160,True
same_response<50%,visual,し,blur,34.16291,1.0,117,160,True
same_response<50%,visual,し,fade,1.45116,1.0,120,160,True
same_response<50%,visual,し,reveal,1.24485,0.97666,126,160,True
same_response<50%,visual,し,wipe,17.2001,1.0,120,160,True
same_response<50%,visual,つ,blur,31.37188,1.0,127,160,True
same_response<50%,visual,つ,fade,1.58399,1.0,121,160,True
same_response<50%,visual,つ,reveal,1.61739,1.0,120,160,True
same_response<50%,visual,つ,wipe,30.248,0.93273,117,160,True
same_response<50%,visual,ま,blur,44.60099,1.0,120,160,True
same_response<50%,visual,ま,fade,1.42798,0.96145,117,160,True
same_response<50%,visual,ま,reveal,2.4149,1.0,120,160,True
same_response<50%,visual,ま,wipe,3.96602,0.95238,126,160,True
same_response<50%,visual,ら,blur,47.6378,1.0,120,160,True
same_response<50%,visual,ら,fade,1.68598,1.0,126,160,True
same_response<50%,visual,ら,reveal,1.03597,0.9134,117,160,True
same_response<50%,visual,ら,wipe,24.78022,0.875,121,160,True
floor_acc<gamma×2,audio,あ,,19.51158,0.96923,181,68,True
floor_acc<gamma×2,audio,か,,38.16778,1.0,177,68,True
floor_acc<gamma×2,audio,が,,67.27119,0.04348,178,68,True
floor_acc<gamma×2,audio,ぱ,,15.02297,0.41406,181,68,True
floor_acc<gamma×2,audio,し,,22.45291,0.27404,175,68,True
floor_acc<gamma×2,audio,つ,,35.00275,1.0,179,68,True
floor_acc<gamma×2,audio,ま,,49.32074,0.91139,182,68,True
floor_acc<gamma×2,audio,ら,,44.91696,0.4305,175,68,True
floor_acc<gamma×2,visual,あ,blur,48.90007,1.0,96,127,True
floor_acc<gamma×2,visual,あ,fade,1.32864,1.0,99,127,True
floor_acc<gamma×2,visual,あ,reveal,1.00971,0.92328,87,127,True
floor_acc<gamma×2,visual,あ,wipe,22.87728,1.0,99,127,True
floor_acc<gamma×2,visual,か,blur,48.7986,1.0,87,127,True
floor_acc<gamma×2,visual,か,fade,1.4088,0.91445,100,127,True
floor_acc<gamma×2,visual,か,reveal,1.4804,1.0,99,127,True
floor_acc<gamma×2,visual,か,wipe,35.98007,0.8998,96,127,True
floor_acc<gamma×2,visual,が,blur,61.55873,0.96666,99,127,True
floor_acc<gamma×2,visual,が,fade,1.96519,0.94262,96,127,True
floor_acc<gamma×2,visual,が,reveal,3.22264,0.91291,99,127,True
floor_acc<gamma×2,visual,が,wipe,30.08126,1.0,87,127,True
floor_acc<gamma×2,visual,ぱ,blur,70.73982,1.0,99,127,True
floor_acc<gamma×2,visual,ぱ,fade,2.7649,0.97994,87,127,True
floor_acc<gamma×2,visual,ぱ,reveal,3.79053,0.83648,96,127,True
floor_acc<gamma×2,visual,ぱ,wipe,35.54466,0.91667,99,127,True
floor_acc<gamma×2,visual,し,blur,33.35277,0.94808,96,127,True
floor_acc<gamma×2,visual,し,fade,1.4015,0.98191,100,127,True
floor_acc<gamma×2,visual,し,reveal,1.28681,0.9676,87,127,True
floor_acc<gamma×2,visual,し,wipe,18.59828,1.0,99,127,True
floor_acc<gamma×2,visual,つ,blur,34.56182,1.0,88,127,True
floor_acc<gamma×2,visual,つ,fade,1.46296,1.0,100,127,True
floor_acc<gamma×2,visual,つ,reveal,1.52316,1.0,99,127,True
floor_acc<gamma×2,visual,つ,wipe,32.71994,0.92477,96,127,True
floor_acc<gamma×2,visual,ま,blur,47.55738,1.0,100,127,True
floor_acc<gamma×2,visual,ま,fade,1.52641,0.90792,96,127,True
floor_acc<gamma×2,visual,ま,reveal,2.44658,1.0,99,127,True
floor_acc<gamma×2,visual,ま,wipe,3.98785,0.93023,87,127,True
floor_acc<gamma×2,visual,ら,blur,51.8217,1.0,99,127,True
floor_acc<gamma×2,visual,ら,fade,1.70629,1.0,87,127,True
floor_acc<gamma×2,visual,ら,reveal,0.87899,0.83951,96,127,True
floor_acc<gamma×2,visual,ら,wipe,24.74296,0.85715,100,127,True
floor_acc<gamma×3,audio,あ,,19.51158,0.96923,181,68,True
floor_acc<gamma×3,audio,か,,38.16778,1.0,177,68,True
floor_acc<gamma×3,audio,が,,67.27119,0.04348,178,68,True
floor_acc<gamma×3,audio,ぱ,,15.02297,0.41406,181,68,True
floor_acc<gamma×3,audio,し,,22.45291,0.27404,175,68,True
floor_acc<gamma×3,audio,つ,,35.00275,1.0,179,68,True
floor_acc<gamma×3,audio,ま,,49.32074,0.91139,182,68,True
floor_acc<gamma×3,audio,ら,,44.91696,0.4305,175,68,True
floor_acc<gamma×3,visual,あ,blur,48.90007,1.0,96,127,True
floor_acc<gamma×3,visual,あ,fade,1.32864,1.0,99,127,True
floor_acc<gamma×3,visual,あ,reveal,1.00971,0.92328,87,127,True
floor_acc<gamma×3,visual,あ,wipe,22.87728,1.0,99,127,True
floor_acc<gamma×3,visual,か,blur,48.7986,1.0,87,127,True
floor_acc<gamma×3,visual,か,fade,1.4088,0.91445,100,127,True
floor_acc<gamma×3,visual,か,reveal,1.4804,1.0,99,127,True
floor_acc<gamma×3,visual,か,wipe,35.98007,0.8998,96,127,True
floor_acc<gamma×3,visual,が,blur,61.55873,0.96666,99,127,True
floor_acc<gamma×3,visual,が,fade,1.96519,0.94262,96,127,True
floor_acc<gamma×3,visual,が,reveal,3.22264,0.91291,99,127,True
floor_acc<gamma×3,visual,が,wipe,30.08126,1.0,87,127,True
floor_acc<gamma×3,visual,ぱ,blur,70.73982,1.0,99,127,True
floor_acc<gamma×3,visual,ぱ,fade,2.7649,0.97994,87,127,True
floor_acc<gamma×3,visual,ぱ,reveal,3.79053,0.83648,96,127,True
floor_acc<gamma×3,visual,ぱ,wipe,35.54466,0.91667,99,127,True
floor_acc<gamma×3,visual,し,blur,33.35277,0.94808,96,127,True
floor_acc<gamma×3,visual,し,fade,1.4015,0.98191,100,127,True
floor_acc<gamma×3,visual,し,reveal,1.28681,0.9676,87,127,True
floor_acc<gamma×3,visual,し,wipe,18.59828,1.0,99,127,True
floor_acc<gamma×3,visual,つ,blur,34.56182,1.0,88,127,True
floor_acc<gamma×3,visual,つ,fade,1.46296,1.0,100,127,True
floor_acc<gamma×3,visual,つ,reveal,1.52316,1.0,99,127,True
floor_acc<gamma×3,visual,つ,wipe,32.71994,0.92477,96,127,True
floor_acc<gamma×3,visual,ま,blur,47.55738,1.0,100,127,True
floor_acc<gamma×3,visual,ま,fade,1.52641,0.90792,96,127,True
floor_acc<gamma×3,visual,ま,reveal,2.44658,1.0,99,127,True
floor_acc<gamma×3,visual,ま,wipe,3.98785,0.93023,87,127,True
floor_acc<gamma×3,visual,ら,blur,51.8217,1.0,99,127,True
floor_acc<gamma×3,visual,ら,fade,1.70629,1.0,87,127,True
floor_acc<gamma×3,visual,ら,reveal,0.87899,0.83951,96,127,True
floor_acc<gamma×3,visual,ら,wipe,24.74296,0.85715,100,127,True
decoy_acc>=10%,audio,あ,,19.4752,0.98788,232,88,True
decoy_acc>=10%,audio,か,,33.42361,1.0,231,88,True
decoy_acc>=10%,audio,が,,-10.2785,0.0087,230,88,True
decoy_acc>=10%,audio,ぱ,,15.03867,0.43373,233,88,True
decoy_acc>=10%,audio,し,,23.8787,0.28082,229,88,True
decoy_acc>=10%,audio,つ,,3.09229,0.68799,232,88,True
decoy_acc>=10%,audio,ま,,46.04931,0.92096,232,88,True
decoy_acc>=10%,audio,ら,,45.66686,0.42402,229,88,True
decoy_acc>=10%,visual,あ,blur,44.5456,1.0,120,162,True
decoy_acc>=10%,visual,あ,fade,1.31654,1.0,120,162,True
decoy_acc>=10%,visual,あ,reveal,1.18829,0.95743,126,162,True
decoy_acc>=10%,visual,あ,wipe,23.41955,1.0,120,162,True
decoy_acc>=10%,visual,か,blur,45.56228,1.0,126,162,True
decoy_acc>=10%,visual,か,fade,1.39455,0.93467,121,162,True
decoy_acc>=10%,visual,か,reveal,1.69459,1.0,120,162,True
decoy_acc>=10%,visual,か,wipe,38.95907,1.0,120,162,True
decoy_acc>=10%,visual,が,blur,56.54411,1.0,120,162,True
decoy_acc>=10%,visual,が,fade,1.85762,0.96762,121,162,True
decoy_acc>=10%,visual,が,reveal,3.33637,0.92597,120,162,True
decoy_acc>=10%,visual,が,wipe,55.34718,1.0,126,162,True
decoy_acc>=10%,visual,ぱ,blur,68.84793,1.0,120,162,True
decoy_acc>=10%,visual,ぱ,fade,2.71828,0.96168,126,162,True
decoy_acc>=10%,visual,ぱ,reveal,3.51127,0.89914,120,162,True
decoy_acc>=10%,visual,ぱ,wipe,99.45348,0.93334,120,162,True
decoy_acc>=10%,visual,し,blur,34.115,1.0,120,162,True
decoy_acc>=10%,visual,し,fade,1.45557,1.0,121,162,True
decoy_acc>=10%,visual,し,reveal,1.24485,0.97666,126,162,True
decoy_acc>=10%,visual,し,wipe,17.2001,1.0,120,162,True
decoy_acc>=10%,visual,つ,blur,31.37188,1.0,127,162,True
decoy_acc>=10%,visual,つ,fade,1.58399,1.0,121,162,True
decoy_acc>=10%,visual,つ,reveal,1.61739,1.0,120,162,True
decoy_acc>=10%,visual,つ,wipe,30.31764,0.93269,120,162,True
decoy_acc>=10%,visual,ま,blur,44.5377,1.0,121,162,True
decoy_acc>=10%,visual,ま,fade,1.43708,0.96278,120,162,True
decoy_acc>=10%,visual,ま,reveal,2.4149,1.0,120,162,True
decoy_acc>=10%,visual,ま,wipe,3.96602,0.95238,126,162,True
decoy_acc>=10%,visual,ら,blur,47.6378,1.0,120,162,True
decoy_acc>=10%,visual,ら,fade,1.68598,1.0,126,162,True
decoy_acc>=10%,visual,ら,reveal,1.0518,0.91799,120,162,True
decoy_acc>=10%,visual,ら,wipe,24.78022,0.875,121,162,True
decoy_acc>=20%,audio,あ,,19.36668,1.0,181,69,True
decoy_acc>=20%,audio,か,,33.50891,1.0,184,69,True
decoy_acc>=20%,audio,が,,-3.04643,0.00562,178,69,True
decoy_acc>=20%,audio,ぱ,,15.11799,0.41985,183,69,True
decoy_acc>=20%,audio,し,,20.47185,0.29134,180,69,True
decoy_acc>=20%,audio,つ,,6.99602,0.636,182,69,True
decoy_acc>=20%,audio,ま,,47.00738,0.9612,180,69,True
decoy_acc>=20%,audio,ら,,45.7264,0.39767,181,69,True
decoy_acc>=20%,visual,あ,blur,44.5456,1.0,120,162,True
decoy_acc>=20%,visual,あ,fade,1.31654,1.0,120,162,True
decoy_acc>=20%,visual,あ,reveal,1.18829,0.95743,126,162,True
decoy_acc>=20%,visual,あ,wipe,23.41955,1.0,120,162,True
decoy_acc>=20%,visual,か,blur,45.56228,1.0,126,162,True
decoy_acc>=20%,visual,か,fade,1.39455,0.93467,121,162,True
decoy_acc>=20%,visual,か,reveal,1.69459,1.0,120,162,True
decoy_acc>=20%,visual,か,wipe,38.95907,1.0,120,162,True
decoy_acc>=20%,visual,が,blur,56.54411,1.0,120,162,True
decoy_acc>=20%,visual,が,fade,1.85762,0.96762,121,162,True
decoy_acc>=20%,visual,が,reveal,3.33637,0.92597,120,162,True
decoy_acc>=20%,visual,が,wipe,55.34718,1.0,126,162,True
decoy_acc>=20%,visual,ぱ,blur,68.84793,1.0,120,162,True
decoy_acc>=20%,visual,ぱ,fade,2.71828,0.96168,126,162,True
decoy_acc>=20%,visual,ぱ,reveal,3.51127,0.89914,120,162,True
decoy_acc>=20%,visual,ぱ,wipe,99.45348,0.93334,120,162,True
decoy_acc>=20%,visual,し,blur,34.115,1.0,120,162,True
decoy_acc>=20%,visual,し,fade,1.45557,1.0,121,162,True
decoy_acc>=20%,visual,し,reveal,1.24485,0.97666,126,162,True
decoy_acc>=20%,visual,し,wipe,17.2001,1.0,120,162,True
decoy_acc>=20%,visual,つ,blur,31.37188,1.0,127,162,True
decoy_acc>=20%,visual,つ,fade,1.58399,1.0,121,162,True
decoy_acc>=20%,visual,つ,reveal,1.61739,1.0,120,162,True
decoy_acc>=20%,visual,つ,wipe,30.31764,0.93269,120,162,True
decoy_acc>=20%,visual,ま,blur,44.5377,1.0,121,162,True
decoy_acc>=20%,visual,ま,fade,1.43708,0.96278,120,162,True
decoy_acc>=20%,visual,ま,reveal,2.4149,1.0,120,162,True
decoy_acc>=20%,visual,ま,wipe,3.96602,0.95238,126,162,True
decoy_acc>=20%,visual,ら,blur,47.6378,1.0,120,162,True
decoy_acc>=20%,visual,ら,fade,1.68598,1.0,126,162,True
decoy_acc>=20%,visual,ら,reveal,1.0518,0.91799,120,162,True
decoy_acc>=20%,visual,ら,wipe,24.78022,0.875,121,162,True
decoy_acc>=30%,audio,あ,,19.84568,1.0,111,43,True
decoy_acc>=30%,audio,か,,28.87089,1.0,116,43,True
decoy_acc>=30%,audio,が,,62.4556,0.05882,112,43,True
decoy_acc>=30%,audio,ぱ,,15.07237,0.43902,112,43,True
decoy_acc>=30%,audio,し,,20.14895,0.3038,113,43,True
decoy_acc>=30%,audio,つ,,-23.73048,0.76456,112,43,True
decoy_acc>=30%,audio,ま,,45.4501,0.9581,113,43,True
decoy_acc>=30%,audio,ら,,49.56279,0.375,114,43,True
decoy_acc>=30%,visual,あ,blur,44.15789,1.0,114,155,True
decoy_acc>=30%,visual,あ,fade,1.28932,1.0,117,155,True
decoy_acc>=30%,visual,あ,reveal,1.23169,0.95889,123,155,True
decoy_acc>=30%,visual,あ,wipe,24.10633,1.0,111,155,True
decoy_acc>=30%,visual,か,blur,45.33717,1.0,123,155,True
decoy_acc>=30%,visual,か,fade,1.31843,0.94844,112,155,True
decoy_acc>=30%,visual,か,reveal,1.68344,1.0,117,155,True
decoy_acc>=30%,visual,か,wipe,39.1851,1.0,114,155,True
decoy_acc>=30%,visual,が,blur,55.95046,1.0,117,155,True
decoy_acc>=30%,visual,が,fade,1.81349,0.98286,115,155,True
decoy_acc>=30%,visual,が,reveal,3.38532,1.0,111,155,True
decoy_acc>=30%,visual,が,wipe,44.78707,1.0,123,155,True
decoy_acc>=30%,visual,ぱ,blur,67.70977,1.0,111,155,True
decoy_acc>=30%,visual,ぱ,fade,2.68547,0.96034,123,155,True
decoy_acc>=30%,visual,ぱ,reveal,3.58233,0.96863,114,155,True
decoy_acc>=30%,visual,ぱ,wipe,98.66374,0.92308,117,155,True
decoy_acc>=30%,visual,し,blur,33.41796,1.0,114,155,True
decoy_acc>=30%,visual,し,fade,1.30681,0.98514,118,155,True
decoy_acc>=30%,visual,し,reveal,1.25808,0.97616,123,155,True
decoy_acc>=30%,visual,し,wipe,15.75571,1.0,111,155,True
decoy_acc>=30%,visual,つ,blur,30.84022,1.0,124,155,True
decoy_acc>=30%,visual,つ,fade,1.3086,1.0,112,155,True
decoy_acc>=30%,visual,つ,reveal,1.19711,0.95832,117,155,True
decoy_acc>=30%,visual,つ,wipe,29.10967,0.9272,114,155,True
decoy_acc>=30%,visual,ま,blur,43.63151,1.0,118,155,True
decoy_acc>=30%,visual,ま,fade,1.44719,1.0,114,155,True
decoy_acc>=30%,visual,ま,reveal,2.01688,1.0,111,155,True
decoy_acc>=30%,visual,ま,wipe,3.97845,0.95161,123,155,True
decoy_acc>=30%,visual,ら,blur,46.46323,1.0,111,155,True
decoy_acc>=30%,visual,ら,fade,1.67101,1.0,123,155,True
decoy_acc>=30%,visual,ら,reveal,1.02021,0.93463,114,155,True
decoy_acc>=30%,visual,ら,wipe,24.6781,0.875,118,155,True
strict(組み合わせ),audio,あ,,19.29823,1.0,138,52,True
strict(組み合わせ),audio,か,,36.3306,1.0,137,52,True
strict(組み合わせ),audio,が,,74.94988,0.05882,134,52,True
strict(組み合わせ),audio,ぱ,,15.15483,0.42858,139,52,True
strict(組み合わせ),audio,し,,20.12297,0.28421,134,52,True
strict(組み合わせ),audio,つ,,29.77908,1.0,138,52,True
strict(組み合わせ),audio,ま,,49.40919,0.98276,137,52,True
strict(組み合わせ),audio,ら,,45.69634,0.40506,135,52,True
strict(組み合わせ),visual,あ,blur,46.93119,1.0,87,120,True
strict(組み合わせ),visual,あ,fade,1.40887,1.0,93,120,True
strict(組み合わせ),visual,あ,reveal,1.00971,0.92328,87,120,True
strict(組み合わせ),visual,あ,wipe,22.56395,1.0,96,120,True
strict(組み合わせ),visual,か,blur,48.7986,1.0,87,120,True
strict(組み合わせ),visual,か,fade,1.31106,0.90902,97,120,True
strict(組み合わせ),visual,か,reveal,1.45609,1.0,93,120,True
strict(組み合わせ),visual,か,wipe,37.4821,1.0,87,120,True
strict(組み合わせ),visual,が,blur,61.61951,0.96588,93,120,True
strict(組み合わせ),visual,が,fade,2.22619,1.0,87,120,True
strict(組み合わせ),visual,が,reveal,1.82256,0.77731,96,120,True
strict(組み合わせ),visual,が,wipe,30.08126,1.0,87,120,True
strict(組み合わせ),visual,ぱ,blur,71.02224,1.0,96,120,True
strict(組み合わせ),visual,ぱ,fade,2.7649,0.97994,87,120,True
strict(組み合わせ),visual,ぱ,reveal,3.84683,0.85814,87,120,True
strict(組み合わせ),visual,ぱ,wipe,35.79783,0.90909,93,120,True
strict(組み合わせ),visual,し,blur,34.34432,1.0,87,120,True
strict(組み合わせ),visual,し,fade,1.43203,0.9858,93,120,True
strict(組み合わせ),visual,し,reveal,1.28681,0.9676,87,120,True
strict(組み合わせ),visual,し,wipe,19.02989,1.0,96,120,True
strict(組み合わせ),visual,つ,blur,34.56182,1.0,88,120,True
strict(組み合わせ),visual,つ,fade,1.40383,1.0,97,120,True
strict(組み合わせ),visual,つ,reveal,1.46864,1.0,93,120,True
strict(組み合わせ),visual,つ,wipe,30.26324,0.92362,87,120,True
strict(組み合わせ),visual,ま,blur,47.37747,1.0,93,120,True
strict(組み合わせ),visual,ま,fade,1.56187,0.9459,87,120,True
strict(組み合わせ),visual,ま,reveal,2.425,1.0,96,120,True
strict(組み合わせ),visual,ま,wipe,3.98785,0.93023,87,120,True
strict(組み合わせ),visual,ら,blur,51.75233,1.0,96,120,True
strict(組み合わせ),visual,ら,fade,1.70629,1.0,87,120,True
strict(組み合わせ),visual,ら,reveal,0.8868,0.86735,87,120,True
strict(組み合わせ),visual,ら,wipe,24.52735,0.85714,94,120,True
