audio_check_misses_group,modality,family,n_trials,n_participants,accuracy_overall,mu,lam,converged,note
つまずきなし(0回),audio,,1827,87,0.3996,30.7643,0.64954,True,
つまずきあり(1回以上),audio,,63,3,0.3333,27.43734,0.47619,True,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);参考(参加者3人<20)
