variant,score
点ふえ·c2,1.275
点ふえ·c4,1.243
ぼかし·c2,0.98
うすい·c2,0.961
端から·c3,0.917
うすい·c1,0.906
ぼかし·c4,0.899
端から·c4,0.846
うすい·c3,0.745
端から·c2,0.671
端から·c1,0.663
うすい·c4,0.502
ぼかし·c1,0.486
ぼかし·c3,0.459
点ふえ·c1,0.298
点ふえ·c3,0.0
