q,v1,v2,char,win1,n
natural,ぼかし·c1,ぼかし·c3,つ,4,5
natural,ぼかし·c1,ぼかし·c3,ぱ,4,6
natural,ぼかし·c1,ぼかし·c3,ま,1,7
natural,ぼかし·c1,ぼかし·c3,ら,7,9
natural,ぼかし·c1,ぼかし·c4,あ,8,8
natural,ぼかし·c1,ぼかし·c4,か,4,5
natural,ぼかし·c1,ぼかし·c4,が,0,7
natural,ぼかし·c1,ぼかし·c4,し,0,3
natural,ぼかし·c1,ぼかし·c4,つ,0,8
natural,ぼかし·c1,ぼかし·c4,ぱ,2,7
natural,ぼかし·c1,ぼかし·c4,ま,0,4
natural,ぼかし·c1,ぼかし·c4,ら,0,6
natural,ぼかし·c1,うすい·c1,あ,1,9
natural,ぼかし·c1,うすい·c1,か,0,9
natural,ぼかし·c1,うすい·c1,が,3,4
natural,ぼかし·c1,うすい·c1,し,9,11
natural,ぼかし·c1,うすい·c1,つ,4,5
natural,ぼかし·c1,うすい·c1,ぱ,1,5
natural,ぼかし·c1,うすい·c1,ま,1,10
natural,ぼかし·c1,うすい·c1,ら,1,5
natural,ぼかし·c1,点ふえ·c1,あ,5,5
natural,ぼかし·c1,点ふえ·c1,か,0,4
natural,ぼかし·c1,点ふえ·c1,が,4,7
natural,ぼかし·c1,点ふえ·c1,し,6,6
natural,ぼかし·c1,点ふえ·c1,つ,4,9
natural,ぼかし·c1,点ふえ·c1,ぱ,1,5
natural,ぼかし·c1,点ふえ·c1,ま,0,3
natural,ぼかし·c1,点ふえ·c1,ら,8,10
natural,ぼかし·c1,端から·c1,あ,7,8
natural,ぼかし·c1,端から·c1,か,0,6
natural,ぼかし·c1,端から·c1,が,0,2
natural,ぼかし·c1,端から·c1,し,3,6
natural,ぼかし·c1,端から·c1,つ,4,5
natural,ぼかし·c1,端から·c1,ぱ,1,9
natural,ぼかし·c1,端から·c1,ま,4,5
natural,ぼかし·c1,端から·c1,ら,5,8
natural,ぼかし·c2,ぼかし·c3,あ,1,5
natural,ぼかし·c2,ぼかし·c3,か,2,8
natural,ぼかし·c2,ぼかし·c3,が,5,5
natural,ぼかし·c2,ぼかし·c3,し,13,13
natural,ぼかし·c2,ぼかし·c3,つ,5,5
natural,ぼかし·c2,ぼかし·c3,ぱ,3,5
natural,ぼかし·c2,ぼかし·c3,ま,4,4
natural,ぼかし·c2,ぼかし·c3,ら,7,7
natural,ぼかし·c2,ぼかし·c4,あ,8,8
natural,ぼかし·c2,ぼかし·c4,か,4,6
natural,ぼかし·c2,ぼかし·c4,が,5,7
natural,ぼかし·c2,ぼかし·c4,し,0,4
natural,ぼかし·c2,ぼかし·c4,つ,6,7
natural,ぼかし·c2,ぼかし·c4,ぱ,3,6
natural,ぼかし·c2,ぼかし·c4,ま,3,7
natural,ぼかし·c2,ぼかし·c4,ら,2,3
natural,ぼかし·c2,うすい·c2,あ,2,4
natural,ぼかし·c2,うすい·c2,か,3,9
natural,ぼかし·c2,うすい·c2,が,1,2
natural,ぼかし·c2,うすい·c2,し,3,7
natural,ぼかし·c2,うすい·c2,つ,4,8
natural,ぼかし·c2,うすい·c2,ぱ,2,6
natural,ぼかし·c2,うすい·c2,ま,3,5
natural,ぼかし·c2,うすい·c2,ら,4,7
natural,ぼかし·c2,点ふえ·c2,あ,0,1
natural,ぼかし·c2,点ふえ·c2,か,2,8
natural,ぼかし·c2,点ふえ·c2,が,1,8
natural,ぼかし·c2,点ふえ·c2,し,3,3
natural,ぼかし·c2,点ふえ·c2,つ,4,9
natural,ぼかし·c2,点ふえ·c2,ぱ,3,5
natural,ぼかし·c2,点ふえ·c2,ま,0,11
natural,ぼかし·c2,点ふえ·c2,ら,5,12
natural,ぼかし·c2,端から·c2,あ,4,9
natural,ぼかし·c2,端から·c2,か,1,5
natural,ぼかし·c2,端から·c2,が,1,5
natural,ぼかし·c2,端から·c2,し,5,14
natural,ぼかし·c2,端から·c2,つ,9,11
natural,ぼかし·c2,端から·c2,ぱ,4,8
natural,ぼかし·c2,端から·c2,ま,6,7
natural,ぼかし·c2,端から·c2,ら,3,5
natural,ぼかし·c3,ぼかし·c4,あ,5,5
natural,ぼかし·c3,ぼかし·c4,か,5,5
natural,ぼかし·c3,ぼかし·c4,が,0,10
natural,ぼかし·c3,ぼかし·c4,し,0,3
natural,ぼかし·c3,ぼかし·c4,つ,0,8
natural,ぼかし·c3,ぼかし·c4,ぱ,0,8
natural,ぼかし·c3,ぼかし·c4,ま,0,4
natural,ぼかし·c3,ぼかし·c4,ら,0,5
natural,ぼかし·c3,うすい·c3,あ,3,8
natural,ぼかし·c3,うすい·c3,か,0,12
natural,ぼかし·c3,うすい·c3,が,7,10
natural,ぼかし·c3,うすい·c3,し,7,8
natural,ぼかし·c3,うすい·c3,つ,2,6
natural,ぼかし·c3,うすい·c3,ぱ,1,4
natural,ぼかし·c3,うすい·c3,ま,0,4
natural,ぼかし·c3,うすい·c3,ら,3,4
natural,ぼかし·c3,点ふえ·c3,あ,4,4
natural,ぼかし·c3,点ふえ·c3,か,1,10
natural,ぼかし·c3,点ふえ·c3,が,5,5
natural,ぼかし·c3,点ふえ·c3,し,9,9
natural,ぼかし·c3,点ふえ·c3,つ,7,12
natural,ぼかし·c3,点ふえ·c3,ぱ,1,5
natural,ぼかし·c3,点ふえ·c3,ま,1,7
natural,ぼかし·c3,点ふえ·c3,ら,11,11
natural,ぼかし·c3,端から·c3,あ,4,7
natural,ぼかし·c3,端から·c3,か,0,2
natural,ぼかし·c3,端から·c3,が,0,5
natural,ぼかし·c3,端から·c3,し,3,7
natural,ぼかし·c3,端から·c3,つ,3,10
natural,ぼかし·c3,端から·c3,ぱ,2,4
natural,ぼかし·c3,端から·c3,ま,6,6
natural,ぼかし·c3,端から·c3,ら,5,10
natural,ぼかし·c4,うすい·c4,あ,2,5
natural,ぼかし·c4,うすい·c4,か,4,9
natural,ぼかし·c4,うすい·c4,が,5,9
natural,ぼかし·c4,うすい·c4,し,3,4
natural,ぼかし·c4,うすい·c4,つ,3,6
natural,ぼかし·c4,うすい·c4,ぱ,4,5
natural,ぼかし·c4,うすい·c4,ま,5,9
natural,ぼかし·c4,うすい·c4,ら,3,7
natural,ぼかし·c4,点ふえ·c4,あ,2,6
natural,ぼかし·c4,点ふえ·c4,か,1,6
natural,ぼかし·c4,点ふえ·c4,が,2,12
natural,ぼかし·c4,点ふえ·c4,し,6,12
natural,ぼかし·c4,点ふえ·c4,つ,4,7
natural,ぼかし·c4,点ふえ·c4,ぱ,4,5
natural,ぼかし·c4,点ふえ·c4,ま,2,5
natural,ぼかし·c4,点ふえ·c4,ら,3,8
natural,ぼかし·c4,端から·c4,あ,3,7
natural,ぼかし·c4,端から·c4,か,0,2
natural,ぼかし·c4,端から·c4,が,3,8
natural,ぼかし·c4,端から·c4,し,1,4
natural,ぼかし·c4,端から·c4,つ,9,9
natural,ぼかし·c4,端から·c4,ぱ,3,4
natural,ぼかし·c4,端から·c4,ま,7,12
natural,ぼかし·c4,端から·c4,ら,4,7
natural,うすい·c1,うすい·c2,あ,5,6
natural,うすい·c1,うすい·c2,か,8,9
natural,うすい·c1,うすい·c2,が,0,6
natural,うすい·c1,うすい·c2,し,0,9
natural,うすい·c1,うすい·c2,つ,0,6
natural,うすい·c1,うすい·c2,ぱ,2,9
natural,うすい·c1,うすい·c2,ま,9,9
natural,うすい·c1,うすい·c2,ら,0,6
natural,うすい·c1,うすい·c3,あ,1,8
natural,うすい·c1,うすい·c3,か,5,6
natural,うすい·c1,うすい·c3,が,3,4
natural,うすい·c1,うすい·c3,し,7,12
natural,うすい·c1,うすい·c3,つ,4,7
natural,うすい·c1,うすい·c3,ぱ,9,9
natural,うすい·c1,うすい·c3,ま,1,2
natural,うすい·c1,うすい·c3,ら,8,10
natural,うすい·c1,うすい·c4,あ,10,10
natural,うすい·c1,うすい·c4,か,3,3
natural,うすい·c1,うすい·c4,が,2,6
natural,うすい·c1,うすい·c4,し,0,6
natural,うすい·c1,うすい·c4,つ,2,7
natural,うすい·c1,うすい·c4,ぱ,4,9
natural,うすい·c1,うすい·c4,ま,7,7
natural,うすい·c1,うすい·c4,ら,0,6
natural,うすい·c1,点ふえ·c1,あ,5,5
natural,うすい·c1,点ふえ·c1,か,5,5
natural,うすい·c1,点ふえ·c1,が,3,5
natural,うすい·c1,点ふえ·c1,し,1,4
natural,うすい·c1,点ふえ·c1,つ,3,4
natural,うすい·c1,点ふえ·c1,ぱ,5,8
natural,うすい·c1,点ふえ·c1,ま,13,13
natural,うすい·c1,点ふえ·c1,ら,1,4
natural,うすい·c1,端から·c1,あ,6,7
natural,うすい·c1,端から·c1,か,0,7
natural,うすい·c1,端から·c1,が,0,10
natural,うすい·c1,端から·c1,し,2,9
natural,うすい·c1,端から·c1,つ,9,12
natural,うすい·c1,端から·c1,ぱ,3,6
natural,うすい·c1,端から·c1,ま,4,7
natural,うすい·c1,端から·c1,ら,0,2
natural,うすい·c2,うすい·c3,あ,0,4
natural,うすい·c2,うすい·c3,か,1,13
natural,うすい·c2,うすい·c3,が,6,6
natural,うすい·c2,うすい·c3,し,4,4
natural,うすい·c2,うすい·c3,つ,6,6
natural,うすい·c2,うすい·c3,ぱ,12,13
natural,うすい·c2,うすい·c3,ま,0,7
natural,うすい·c2,うすい·c3,ら,10,10
natural,うすい·c2,うすい·c4,あ,8,11
natural,うすい·c2,うすい·c4,か,1,1
natural,うすい·c2,うすい·c4,が,4,5
natural,うすい·c2,うすい·c4,し,8,11
natural,うすい·c2,うすい·c4,つ,4,6
natural,うすい·c2,うすい·c4,ぱ,7,10
natural,うすい·c2,うすい·c4,ま,1,2
natural,うすい·c2,うすい·c4,ら,5,6
natural,うすい·c2,点ふえ·c2,あ,0,4
natural,うすい·c2,点ふえ·c2,か,5,8
natural,うすい·c2,点ふえ·c2,が,2,6
natural,うすい·c2,点ふえ·c2,し,8,10
natural,うすい·c2,点ふえ·c2,つ,5,9
natural,うすい·c2,点ふえ·c2,ぱ,5,9
natural,うすい·c2,点ふえ·c2,ま,1,12
natural,うすい·c2,点ふえ·c2,ら,4,5
natural,うすい·c2,端から·c2,あ,3,9
natural,うすい·c2,端から·c2,か,4,7
natural,うすい·c2,端から·c2,が,3,6
natural,うすい·c2,端から·c2,し,6,9
natural,うすい·c2,端から·c2,つ,2,5
natural,うすい·c2,端から·c2,ぱ,6,10
natural,うすい·c2,端から·c2,ま,4,7
natural,うすい·c2,端から·c2,ら,4,5
natural,うすい·c3,うすい·c4,あ,4,4
natural,うすい·c3,うすい·c4,か,12,12
natural,うすい·c3,うすい·c4,が,2,10
natural,うすい·c3,うすい·c4,し,0,1
natural,うすい·c3,うすい·c4,つ,0,2
natural,うすい·c3,うすい·c4,ぱ,1,5
natural,うすい·c3,うすい·c4,ま,6,7
natural,うすい·c3,うすい·c4,ら,0,7
natural,うすい·c3,点ふえ·c3,あ,6,6
natural,うすい·c3,点ふえ·c3,か,8,8
natural,うすい·c3,点ふえ·c3,が,1,5
natural,うすい·c3,点ふえ·c3,し,3,5
natural,うすい·c3,点ふえ·c3,つ,2,4
natural,うすい·c3,点ふえ·c3,ぱ,2,6
natural,うすい·c3,点ふえ·c3,ま,9,9
natural,うすい·c3,点ふえ·c3,ら,1,5
natural,うすい·c3,端から·c3,あ,9,9
natural,うすい·c3,端から·c3,か,1,1
natural,うすい·c3,端から·c3,が,0,7
natural,うすい·c3,端から·c3,し,2,6
natural,うすい·c3,端から·c3,つ,3,6
natural,うすい·c3,端から·c3,ぱ,2,5
natural,うすい·c3,端から·c3,ま,8,9
natural,うすい·c3,端から·c3,ら,1,8
natural,うすい·c4,点ふえ·c4,あ,1,5
natural,うすい·c4,点ふえ·c4,か,2,9
natural,うすい·c4,点ふえ·c4,が,1,6
